,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
0,0,World,139416459,587933,2992358,7364,118537485,17886616,106496,17886,383.9,0,0,0,All,0,0,0,2021-04-22
1,0,Europe,42358631,192492,966404,3699,36601072,4791155,32926,0,0,0,0,0,Europe,0,0,0,2021-04-22
2,0,North America,37122545,34877,842223,827,28787583,7492739,16780,0,0,0,0,0,North America,0,0,0,2021-04-22
3,0,Asia,32564907,347857,458333,2517,28621169,3485405,28717,0,0,0,0,0,Asia,0,0,0,2021-04-22
4,1,USA,32168325,18665,578285,187,24701568,6888472,9684,96739,1739,423751559,1274338,332526757,North America,10,575,1,2021-04-22
5,0,South America,22883867,8539,607098,241,20534984,1741785,24302,0,0,0,0,0,South America,0,0,0,2021-04-22
6,2,India,14268963,198073,174172,1020,12530660,1564131,8944,10261,125,262003415,188405,1390642113,Asia,97,7984,5,2021-04-22
7,3,Brazil,13677564,0,362180,0,12170771,1144613,8318,63990,1694,28600000,133804,213745314,South America,16,590,7,2021-04-22
8,4,France,5187879,38045,100073,296,4008331,1079475,5924,79341,1530,71017438,1086108,65387072,Europe,13,653,1,2021-04-22
9,5,Russia,4675153,8944,104398,398,4301448,269307,2300,32025,715,124700000,854205,145983692,Europe,31,1398,1,2021-04-22
10,0,Africa,4425216,3947,117119,69,3957246,350851,3767,0,0,0,0,0,Africa,0,0,0,2021-04-22
11,6,UK,4380976,2672,127191,30,4113338,140447,351,64269,1866,139824361,2051231,68166088,Europe,16,536,0,2021-04-22
12,7,Turkey,4086957,61400,35031,297,3535040,516886,3080,48053,412,42828122,503562,85050360,Asia,21,2428,2,2021-04-22
13,8,Italy,3826156,16974,115937,380,3200196,510023,3417,63356,1920,54204890,897553,60391837,Europe,16,521,1,2021-04-22
14,9,Spain,3396685,9663,76882,126,3123268,196535,2143,72627,1644,44285495,946898,46769025,Europe,14,608,1,2021-04-22
15,10,Germany,3090583,26201,80090,277,2736100,274393,4662,36795,954,52737238,627865,83994506,Europe,27,1049,2,2021-04-22
16,11,Poland,2642242,21130,60612,682,2238638,342992,3443,69875,1603,13335088,352650,37813984,Europe,14,624,3,2021-04-22
17,12,Argentina,2604157,0,58542,0,2278486,267129,3879,57208,1286,9833106,216012,45521023,South America,17,778,5,2021-04-22
18,13,Colombia,2585801,0,66819,0,2419265,99717,4299,50398,1302,13526900,263641,51307978,South America,20,768,4,2021-04-22
19,14,Mexico,2291246,5113,210812,518,1817866,262568,4798,17626,1622,6332152,48711,129994567,North America,57,617,21,2021-04-22
20,15,Iran,2168872,25078,65680,321,1749041,354151,4601,25566,774,14059260,165725,84834876,Asia,39,1292,6,2021-04-22
21,16,Ukraine,1903765,16427,38658,433,1453766,411341,177,43738,888,8822097,202683,43526620,Europe,23,1126,5,2021-04-22
22,17,Peru,1667737,0,55812,0,1592937,18988,2615,50035,1674,10158843,304783,33331387,South America,20,597,3,2021-04-22
23,18,Czechia,1593847,3697,28229,45,1483559,82059,1076,148616,2632,15102106,1408174,10724603,Europe,7,380,1,2021-04-22
24,19,Indonesia,1589359,6177,43073,167,1438254,108032,0,5763,156,13659569,49529,275790702,Asia,174,6403,20,2021-04-22
25,20,South Africa,1561559,0,53498,0,1486873,21188,546,26072,893,10216114,170569,59894339,Africa,38,1120,6,2021-04-22
26,21,Netherlands,1378145,8734,16861,14,1150716,210568,772,80290,982,11292587,657897,17164681,Europe,12,1018,2,2021-04-22
27,22,Chile,1101698,7431,24766,218,1033189,43743,3257,57246,1287,12128654,630226,19244919,South America,17,777,2,2021-04-22
28,23,Canada,1093402,6250,23489,44,987820,82093,928,28772,618,29363293,772683,38001715,North America,35,1618,1,2021-04-22
29,24,Romania,1020301,3852,25800,195,925395,69106,1518,53317,1348,7811019,408174,19136495,Europe,19,742,2,2021-04-22
30,25,Iraq,956860,7810,14885,49,837336,104639,501,23380,364,8690527,212345,40926514,Asia,43,2750,5,2021-04-22
31,26,Belgium,935316,4713,23603,37,786295,125418,941,80428,2030,11820183,1016418,11629250,Europe,12,493,1,2021-04-22
32,27,Philippines,904285,11429,15594,148,705164,183527,750,8167,141,10977922,99148,110723047,Asia,122,7100,10,2021-04-22
33,28,Sweden,892480,0,13761,36,718278,160441,391,87940,1356,7847033,773205,10148706,Europe,11,737,1,2021-04-22
34,29,Israel,836699,195,6314,2,827401,2984,209,90969,686,13914938,1512890,9197590,Asia,11,1457,1,2021-04-22
35,30,Portugal,829358,501,16933,2,787011,25414,109,81523,1664,9608064,944440,10173293,Europe,12,601,1,2021-04-22
36,31,Pakistan,739818,5395,15872,118,646652,77294,4276,3299,71,10942771,48799,224242164,Asia,303,14128,20,2021-04-22
37,32,Hungary,736982,5307,24521,256,440498,271963,1156,76442,2543,5033736,522116,9641034,Europe,13,393,2,2021-04-22
38,33,Bangladesh,707362,4192,10081,94,597214,100067,0,4262,61,5115572,30821,165975757,Asia,235,16464,32,2021-04-22
39,34,Jordan,679138,2963,8057,70,621870,49211,729,66048,784,6426320,624973,10282548,Asia,15,1276,2,2021-04-22
40,35,Serbia,654870,2971,5881,35,575771,73218,259,75189,675,3646957,418726,8709642,Europe,13,1481,2,2021-04-22
41,36,Switzerland,630194,2226,10492,4,564850,54852,213,72400,1205,6505841,747429,8704294,Europe,14,830,1,2021-04-22
42,37,Austria,586883,2678,9813,34,547604,29466,577,64872,1085,27703138,3062219,9046752,Europe,15,922,0,2021-04-22
43,38,Japan,516121,3952,9500,31,473570,33051,631,4091,75,10670227,84569,126171504,Asia,244,13281,12,2021-04-22
44,39,Lebanon,504800,2501,6809,31,416624,81367,795,74220,1001,3778035,555482,6801360,Asia,13,999,2,2021-04-22
45,40,Morocco,504260,596,8927,7,490366,4967,243,13536,240,6137435,164749,37253307,Africa,74,4173,6,2021-04-22
46,41,UAE,491423,1928,1545,4,475012,14866,0,49221,155,41150933,4121683,9984012,Asia,20,6462,0,2021-04-22
47,42,Saudi Arabia,402142,985,6791,10,386102,9249,999,11412,193,16018862,454591,35237991,Asia,88,5189,2,2021-04-22
48,43,Bulgaria,380576,0,14871,0,296998,68707,807,55099,2153,2319263,335775,6907188,Europe,18,464,3,2021-04-22
49,44,Slovakia,373950,843,10877,79,255300,107773,472,68467,1991,2465652,451442,5461722,Europe,15,502,2,2021-04-22
50,45,Malaysia,367977,2148,1363,10,349039,17575,212,11256,42,8407970,257197,32690753,Asia,89,23984,4,2021-04-22
51,46,Panama,359516,0,6177,0,349318,4021,105,82309,1414,2262027,517876,4367896,North America,12,707,2,2021-04-22
52,47,Ecuador,350539,0,17400,0,298604,34535,591,19635,975,1205869,67546,17852660,South America,51,1026,15,2021-04-22
53,48,Belarus,340023,1222,2393,10,330483,7147,0,35993,253,5608959,593737,9446877,Europe,28,3948,2,2021-04-22
54,49,Greece,308006,3822,9239,104,264324,34443,819,29665,890,7314249,704449,10382930,Europe,34,1124,1,2021-04-22
55,50,Croatia,300900,2927,6442,43,279151,15307,179,73654,1577,1674418,409863,4085307,Europe,14,634,2,2021-04-22
56,51,Azerbaijan,294211,2317,4045,36,257942,32224,0,28814,396,3068679,300531,10210853,Asia,35,2524,3,2021-04-22
57,52,Georgia,292244,1030,3908,7,279389,8947,0,73370,981,3791276,951831,3983138,Asia,14,1019,1,2021-04-22
58,53,Bolivia,285291,1108,12519,23,234596,38176,71,24182,1061,1019593,86423,11797677,South America,41,942,12,2021-04-22
59,54,Nepal,282054,490,3066,5,274604,4384,0,9546,104,2329547,78844,29546342,Asia,105,9637,13,2021-04-22
60,55,Kazakhstan,278695,2641,3306,20,239448,35941,221,14705,174,9283107,489805,18952655,Asia,68,5733,2,2021-04-22
61,56,Tunisia,276727,0,9480,0,229754,37493,446,23224,796,1198763,100605,11915556,Africa,43,1257,10,2021-04-22
62,57,Palestine,274690,0,2923,0,239291,32476,180,52887,563,1650739,317824,5193881,Asia,19,1777,3,2021-04-22
63,58,Dominican Republic,259639,379,3405,3,217613,38621,156,23748,311,1360208,124411,10933195,North America,42,3211,8,2021-04-22
64,59,Kuwait,251675,0,1423,0,235053,15199,237,58258,329,2187159,506288,4319992,Asia,17,3036,2,2021-04-22
65,60,Moldova,244177,812,5493,27,227569,11115,290,60641,1364,922034,228987,4026580,Europe,16,733,4,2021-04-22
66,61,Ireland,242402,297,4820,8,222851,14731,51,48665,968,4241709,851576,4981009,Europe,21,1033,1,2021-04-22
67,62,Paraguay,242161,0,5040,0,198473,38648,489,33628,700,994708,138132,7201165,South America,30,1429,7,2021-04-22
68,63,Denmark,240330,798,2449,2,229372,8509,37,41377,422,30797340,5302361,5808232,Europe,24,2372,0,2021-04-22
69,64,Ethiopia,234405,0,3252,0,174591,56562,995,2000,28,2469593,21075,117182537,Africa,500,36034,47,2021-04-22
70,65,Lithuania,230462,1168,3730,9,208890,17842,151,85601,1385,2553641,948509,2692270,Europe,12,722,1,2021-04-22
71,66,Slovenia,229967,891,4142,7,212815,13010,150,110606,1992,1119516,538446,2079163,Europe,9,502,2,2021-04-22
72,67,Costa Rica,225343,0,3044,0,196060,26239,221,43921,593,879450,171413,5130600,North America,23,1685,6,2021-04-22
73,68,Egypt,212961,0,12570,0,161031,39360,90,2051,121,2677262,25782,103842186,Africa,488,8261,39,2021-04-22
74,69,Guatemala,208694,1567,7120,31,188695,12879,5,11483,392,1139962,62723,18174497,North America,87,2553,16,2021-04-22
75,70,Armenia,206142,1014,3817,23,185125,17200,0,69464,1286,920423,310158,2967598,Asia,14,777,3,2021-04-22
76,71,Honduras,198214,1510,4905,32,76130,117179,576,19766,489,550206,54868,10027818,North America,51,2044,18,2021-04-22
77,72,Qatar,193952,989,357,9,171985,21610,489,69076,127,1825071,649999,2807805,Asia,14,7865,2,2021-04-22
78,73,Bosnia and Herzegovina,187715,1343,7702,60,144932,35081,0,57498,2359,858968,263105,3264729,Europe,17,424,4,2021-04-22
79,74,Venezuela,178094,0,1834,0,160620,15640,237,6277,65,3359014,118390,28372485,South America,159,15470,8,2021-04-22
